Name,AlbumId,MediaTypeId,GenreId,Composer,Milliseconds,Bytes
Decision determine.,937,1,4,Nicholas Robbins,65844,1838353
Plant kitchen.,446,3,7,Thomas Long,132538,2923021
Benefit.,757,5,6,John Hopkins,153505,6324918
Natural.,681,5,4,Steven West,99748,1036009
Interesting modern.,704,5,3,Brandi Washington DVM,195908,4134671
Ago few.,501,5,2,Frank Lawrence,293889,3182341
Go.,318,3,6,Donna Bryant,364063,6399639
Rest.,718,3,7,Vicki Ramos,67516,4933499
Language suddenly.,330,5,6,Jeffrey Bennett,137867,1433434
Method.,611,1,9,Amy Miller DDS,76076,3062609
Sure half.,642,1,2,Mrs. Julie Graham,160670,6067356
Night edge.,88,5,3,Dr. Shelley Dominguez,65707,1226675
Occur building.,212,5,2,Donald Stevens,178046,3730260
Page.,717,3,8,Selena Khan,203743,4185572
Training instead.,854,1,2,Robert Davis,395825,4878056
Him.,863,1,6,Tammy Diaz,330216,2572784
Minute significant.,567,3,7,Melanie Wallace,220294,6183604
Better husband.,571,2,1,Katie Stewart,98898,1864783
Read.,356,3,1,Francisco Hernandez,324220,6115976
Business significant.,253,4,3,Judith Hayes,220758,1150225
Trial medical.,333,1,2,Dennis Wood,368597,6489638
Certainly truth.,791,2,7,Kimberly Gibson,251223,5854307
Course morning.,523,4,6,Joseph Cameron,182963,1453493
Loss.,566,2,10,Alex Woods,166396,5685191
Explain.,998,3,4,Natalie Perez,280426,2943809
Million give.,137,1,6,Stephanie Larson,220496,3060533
Development model.,680,3,8,Christina Mccormick,262754,6824435
Task myself.,484,5,9,Sandra Nielsen,126876,6759550
Think.,949,2,1,Vanessa Mcpherson,265103,3406981
Note.,742,1,9,Molly Lopez,91926,2326117
Member yourself.,762,1,7,George Martin,210458,5712006
Owner book.,865,2,9,Jeremy Sanchez,330990,1090826
Make.,882,5,8,Jennifer Galloway,177873,1994480
Director.,897,1,10,Judy Fisher,173197,5841770
Design rule.,959,3,8,Nicholas Chandler,333547,4137595
Nature.,219,3,2,Sarah Hines,325275,5246586
Billion sit.,933,5,8,Geoffrey Harrison,166410,5403185
Set stock.,927,2,3,Matthew Moody,78490,4546569
Standard wide.,241,5,8,Andrea Coleman,391644,4051634
Accept leader.,729,4,9,Elijah Powers,202225,6886180
Fill.,734,3,6,Mrs. Robin Riley,375080,6602480
Recognize.,980,4,5,Katrina Thompson,188359,2419080
Work.,606,3,5,Brian Terry,352049,6139960
Concern various.,394,3,4,Christopher Mcgrath DVM,383927,3305469
International action.,476,5,9,Katie Strong,330171,1449522
Than buy.,406,3,6,Christy Tyler,364895,2953397
Girl.,620,1,4,Justin Clark,199364,5542647
Themselves compare.,19,5,6,Jeffrey Harris,391005,3302001
Share.,694,2,9,Christine Washington,72129,1815959
Finally movement.,893,3,5,Tyrone Smith,108816,1963585
Network.,26,2,7,John Wilson,227962,3185522
Window those.,916,1,5,Mr. Dalton Higgins,293805,6894749
Those.,642,1,3,Alex Jones,229234,1219933
Way.,241,1,8,Brandy Kim,388813,2079722
Place.,253,5,9,Jeffrey Lindsey,272994,1644106
Spend.,858,3,3,David Lowery,170010,2331856
Seven.,708,3,5,Leslie Clark,102407,3444346
Part industry.,205,5,6,Francisco Keller,78414,2002411
Mean out.,639,5,1,Angela Martinez,388879,1731239
Sure people.,263,2,9,Leroy Myers,291078,6510156
Will skill.,576,5,6,Douglas Cummings,210085,1982074
Both six.,767,2,6,Lindsey Boyd,144486,3397922
Why.,35,1,9,Joanna Reed,297000,5675215
Receive news.,174,5,5,Joseph Bell,350595,1318769
Fight suddenly.,977,2,4,Kathleen Willis,218492,6616661
Indeed future.,184,2,8,Joseph Mclean,297087,5546404
White.,2,2,3,Gary Sanchez Jr.,206953,5980748
Able image.,511,5,6,Daniel Rose,114464,2393213
Ok.,673,3,3,Laura Smith,317600,5347722
Official.,147,2,7,Krystal Smith,388346,2156410
Tonight.,1,4,1,Rebecca Lloyd,358349,5962391
Particularly.,159,2,4,Joshua Watson,140497,5455530
Per run.,267,2,2,Clinton Davis,65132,6492674
Institution.,684,4,5,Tammy Dean,65953,6762992
South.,225,1,2,Thomas King,130157,4919979
Course require.,489,3,8,Karen Howell,212797,3843477
Half man.,143,5,2,Shannon Joyce,335155,3432673
Large.,898,1,1,Philip Robinson,340356,2619674
Opportunity.,205,2,8,Gregory Flores,97469,5839227
Particularly.,817,4,9,Richard Sanchez,183818,2800329
Recently right.,98,3,8,Betty Rivera,326146,5953620
Task.,922,2,5,Debbie Schroeder,252968,5820415
Every each.,514,1,9,Todd Parker,307984,1921939
Language.,201,2,7,Tammy Webster,233865,1082369
Number beat.,808,5,8,Amy Smith,153659,5609590
Address whether.,513,4,4,Sara Fox,170783,2950943
General.,221,1,2,Cody Long,206742,1956271
Sign.,752,5,6,Alyssa Henry,134303,4728349
Off arm.,316,1,5,Christina Evans,60809,4049118
Mean.,337,5,9,Douglas Hill,268890,4670920
Eight as.,915,1,8,Maria Hunter,184921,4903879
Crime.,883,3,7,Andrew Reyes,176009,6272632
Somebody.,994,4,6,Holly Walker,64280,6934720
Along mind.,730,3,6,Todd Hawkins,92493,4829625
Control.,485,2,10,Jay Ruiz,215519,4383901
Science.,807,3,2,Leon Carroll,271446,1681294
Wish.,352,4,9,Yvette Howard,239489,2283883
Step forward.,351,3,7,Katrina Jones,258745,1321369
Wish play.,872,4,5,Dawn Carey,79675,4640938
Then organization.,127,3,2,Ronald Barber,346835,2919690
Action.,98,3,7,Andrea Mcmillan,62841,6427690
Site common.,724,5,8,Andrew Ruiz,274776,1058103
Civil.,33,3,5,Kelsey Burns,156827,3161352
Production tough.,229,2,9,Douglas Young,180322,1891651
Building notice.,888,1,2,Alicia Miller,79746,1068312
Training prevent.,699,4,6,Scott Navarro,164294,6927739
Explain stop.,363,4,6,Danielle Davis,218498,3994523
Trouble.,462,2,6,Wayne Wagner,378043,1224375
Choose.,522,5,7,Brandon Gibson,202087,3004495
Popular.,823,5,1,Michael Gibson,165675,6290694
Listen.,557,5,3,James Johnson,274227,6014063
Economy evidence.,727,5,3,Ashley Page,145061,5344558
Explain.,35,5,2,Michael Vargas,201173,4368568
Always wife.,77,4,4,Lindsey Taylor,195718,1575146
Value.,932,2,4,Dave Schneider,139414,4738629
Control rate.,547,2,6,Cameron Moore,282206,5550713
Will.,867,5,6,Natalie Phillips,118114,3478317
Get see.,590,3,10,Jonathan Green,116692,3848038
Throw.,32,2,2,Madison Pope,80800,4041453
Player.,313,2,6,Jeffery Allen,110495,2615363
Wall state.,114,3,10,Meredith Smith,143417,3396332
Door director.,654,4,6,Richard Ward,227322,2521132
Man too.,954,2,1,Stephanie Sandoval DDS,286060,1773164
Difference truth.,75,4,7,Marcus Eaton,267326,4793704
Range.,20,4,3,Robert Raymond,246949,5938289
Receive.,795,5,8,Bonnie Brooks,86748,3582689
Security.,162,1,10,Laura Watkins,333090,1187651
Option room.,718,4,5,Mrs. Lisa Barrera MD,220211,2624723
Surface.,521,2,2,Rachel Jones,207883,6401909
Successful wind.,333,1,1,Michael Blair MD,361279,4685230
Because word.,519,4,9,Melissa Orozco,128093,6036726
Wonder.,267,2,4,Allison Fisher,177509,5708158
At.,16,5,4,Brett Oconnell,182976,4441484
Talk.,85,2,5,David Anderson,150275,6526583
Population service.,811,2,10,Julie Brewer,338545,2719056
Evening course.,366,3,6,Brianna Romero,68582,3424587
Young system.,726,4,5,Sara Dunn,355275,4108408
Investment operation.,604,5,1,Jennifer Williams,270365,6290820
South.,215,2,6,Kelli Huang,134316,4437030
Able song.,793,5,2,Karen Martin,112413,5613209
Let.,36,1,6,Ronald Galvan,301657,3486460
Stand game.,643,4,2,Christine Martinez,160880,3848491
Under bar.,837,1,2,Terry Johnson,374177,1111621
Third thousand.,603,4,5,Mrs. Angela Thompson,150942,5832066
Level provide.,906,4,4,Bridget Williams,78309,2935589
Drive lead.,80,2,2,Mary Phillips,204913,1553381
Set civil.,888,4,8,Bridget Norton,80589,6534231
Accept nature.,892,1,5,Chelsea Adams,197265,5496567
More rise.,631,2,7,Adam Bates,118914,6759448
This always.,544,5,9,Brady Price,228373,6313573
Fast.,703,1,9,Alex Jordan,122799,6199297
Today.,333,3,6,Veronica Lee,284455,2828963
Indeed.,44,1,1,Krystal Cobb,302149,4871270
Improve.,567,5,7,Matthew Perez,369696,4691607
Explain.,817,5,3,Anna Rodriguez,100562,3430403
Local note.,868,2,4,Shannon Wright,79918,1778709
According yeah.,893,1,7,Miranda Torres,93864,3561012
Cost.,483,4,6,Mary Livingston,292965,6519426
Through piece.,267,5,1,Frederick Fisher,384766,3190836
As hold.,127,1,6,Terri Murray,370134,3987712
Nation.,198,2,9,Martin Hudson,184582,3865650
Great society.,8,3,4,Justin Ballard,259406,5748667
Its.,549,2,8,Gloria Hughes,301540,5474088
Itself fall.,746,3,5,Shannon Sanchez,364649,6463960
Work total.,348,1,5,Jennifer Gordon,225147,3343836
His.,129,4,5,William Cuevas,317824,1037519
Wish.,334,4,9,Jessica Miller,80495,4247266
Task door.,881,4,6,Nicholas Miles,242371,4245717
Speak.,810,4,1,Ashley Bell,118725,1369741
Myself.,980,3,4,Leah Jordan,212582,5096342
Money note.,788,5,9,Alexander Bonilla,92285,1410018
Half agreement.,798,4,9,Thomas Berg,302480,3194096
Public environmental.,414,1,1,Benjamin Meyers,177753,4597529
Teach.,515,4,8,Victor Conway,296454,5190892
Teacher a.,210,4,4,Beverly Hale,153627,4059865
Same.,123,3,5,Joshua Pratt,196941,1978921
Worry.,257,5,10,Robin Wood,288511,2684973
Put.,887,4,2,Kenneth Richardson,185748,2756677
Line leader.,143,1,2,Robert Perkins,210463,4785439
Maintain argue.,746,1,1,Maria Anderson,246380,5184099
Imagine.,370,3,1,William Mack,164331,6221578
Speak allow.,735,3,4,Linda Colon,137445,1209509
Team wife.,528,2,8,Kenneth Robinson,225171,5739159
End whom.,821,1,7,Sean Diaz,269451,2945809
Whole activity.,339,4,4,Katherine Wyatt,331518,3207499
Appear.,465,1,2,Andrea Carter,146227,1160350
Direction.,176,4,2,David Morris,76014,3424018
Democratic.,168,5,4,Nicholas Flores,390498,2952711
Past.,940,1,10,Mark Allen,80173,4869533
Reveal.,491,5,2,William Taylor,252439,3025858
Serve dog.,956,3,3,Michael Holland,316691,3193042
Sometimes sense.,865,1,10,David Romero,87837,1304709
High idea.,735,2,6,Bobby Sharp,361337,6965537
Painting ok.,579,3,4,Susan Lozano,267232,1409413
Source shoulder.,813,3,2,Brandon Rice,283777,1692682
Tonight.,774,4,3,Kristopher Noble,173155,2859226
Name that.,215,3,7,Stephanie Nunez,161793,5597795
Return.,204,1,2,John Tran,127434,5676036
List.,643,1,8,Lisa Robertson,175935,1746059
Outside.,937,4,3,Carol Harris,159156,2932599
Operation live.,935,1,1,Jason Savage,160727,6091613
None.,882,3,7,April Martinez,387856,2139241
Allow until.,322,5,8,Nicole Fisher,238442,4796473
Them expert.,939,2,1,John Guzman,336173,2437477
Blue sing.,961,2,10,Leslie Zavala,67885,5545935
Drive some.,866,1,4,Linda Stein,200976,3628754
Throw mean.,384,4,6,Jonathan May,188232,6138128
Effect growth.,198,4,7,Mark Thomas,271741,4956859
Generation.,434,2,1,Jeffrey Watkins,98578,3701532
Stage money.,839,3,6,Amanda Davidson,327496,4717383
Behavior fish.,740,3,7,Brittney Thompson,189895,5642602
None old.,256,5,2,Michelle Evans,230648,3481721
Fund might.,396,3,4,Karen Gomez,213474,3488190
Clear.,8,1,9,Jennifer Martin,349642,1919217
Among.,931,2,6,Danny Fernandez,119668,1697933
Player.,472,3,9,David Rodriguez,200427,1241411
Plan.,927,5,2,Joseph Jones,113642,5889864
Him understand.,650,1,10,Luke Holmes,184715,3147642
Follow.,823,1,8,Carolyn Davis,198098,2121733
Shake.,799,5,4,Harold Owens,310894,5917813
You watch.,989,4,5,Laura Smith,343386,5150052
Capital.,677,5,2,Christopher Daniels,158116,5564068
Development.,732,3,7,Melissa Mitchell,325081,6597083
Audience.,874,2,5,Mr. Jeffrey Price DDS,101380,5780348
Agency.,352,1,7,John Schultz,135583,1950527
Since the.,135,4,4,Frederick Morgan,206718,5667734
Turn still.,654,2,7,Robert Mcgee,171531,4272290
Miss travel.,428,5,6,Greg Turner,75211,4690775
Section.,96,5,8,David Perez,206535,3798610
Develop build.,693,5,6,Valerie Watson,306369,4765597
Thing campaign.,562,5,5,Tricia Miles,169630,4491163
Size choose.,344,4,9,Alexander Johnson,212408,5432471
Point.,418,5,3,Tyler Tyler,214751,6258667
Marriage attack.,575,1,8,Joseph Davis,290735,4767847
Later others.,815,5,6,Wanda Fowler,259714,2471040
Say.,26,3,9,Justin Morales,179161,3836070
Relationship officer.,364,5,7,George Moore,60321,4938464
Ground.,93,5,7,Christina Garrett,105752,2770470
Step act.,569,1,2,Brenda Patel,312136,5445546
Leave bad.,243,1,6,Natasha Smith,290498,6145169
Matter.,724,5,3,Kevin Hall,210267,1979512
Field describe.,812,4,1,Kaitlyn Vazquez,267855,3033400
Low.,98,2,4,Amy Ferguson,114484,5634426
Sign.,832,1,9,Tanya Rosales,156424,3445251
Executive major.,205,4,4,Leonard Brown,169160,3417758
Why onto.,774,3,5,Karen Wilson,68401,1180200
Day.,555,2,2,Mary Mueller,265278,2143285
Seven child.,755,1,9,Michele Fernandez,89995,4283523
Marriage.,531,1,8,Kristie Gallegos,204447,2077447
Save.,549,2,6,Robert Harris,320379,5866442
Particular direction.,227,1,5,Victor Wilson,286412,6794609
Wonder.,227,2,7,Joseph Phillips,288138,5393416
Method computer.,692,3,4,Mr. James Reynolds,120726,4858587
Contain.,393,4,1,Anne Arnold,184342,1867470
Weight.,223,1,6,Katie Johnson,232543,2279471
Meeting cell.,714,1,9,Lisa Mcgee,347028,1580575
Growth.,999,3,2,Taylor Walker,118981,5287600
Detail window.,935,5,10,Jill Morris,309705,2220078
Run.,934,5,9,Cheryl Bell,80974,5842358
Far such.,799,1,8,Joseph Lloyd,68365,1860142
Quality win.,479,3,10,Ashley Estes,111812,1622277
Activity.,825,2,2,Jason Meyer,68945,3093549
Receive within.,340,1,5,Stacy Torres,196385,3056866
Expect language.,978,1,10,Timothy Maynard,144580,5768003
Theory.,628,4,2,Dr. Morgan Brown,356048,3887413
Certainly.,416,4,9,Sydney Hall,177783,5436553
Among cell.,413,5,1,Paul Hernandez,67378,6620962
One stop.,118,1,10,Marc White,204651,2746170
Weight.,656,1,1,Kristy Gonzalez,73886,6536761
Attorney teacher.,871,2,8,Ricky Benitez,348296,2768037
Although.,150,5,1,Dawn Robinson,275654,2689400
Tell.,178,5,1,Shane Hooper,348277,1113481
Pay.,855,4,2,Calvin Jacobson,65143,3156265
Left late.,804,3,10,Ronald Johnson,301706,6791443
Defense green.,381,5,10,Roger Kirby,174359,3884860
Owner expect.,724,2,9,Eugene Nguyen,159382,5881256
Amount as.,379,3,2,Kara Lee,303000,2007267
Power.,967,4,1,Margaret Hobbs,287249,5334495
Listen last.,183,1,6,Sheila Peters,253287,6023295
Mrs.,43,3,3,Cole Scott,269564,6264605
Dog by.,89,4,7,Melissa Grant,306013,4938139
Development top.,124,4,10,Erik Day,351544,4027630
Answer.,968,4,6,Donald Porter,82136,6258039
Design.,683,3,1,Jimmy Gardner,139779,2844693
Play believe.,661,3,5,Sarah Hernandez,114417,3900539
Same teacher.,702,1,5,Chad Tapia,231438,1512003
Impact else.,151,5,3,Larry Brown,397743,3403163
Table.,403,5,2,Melissa Molina,170855,3772941
Usually.,674,3,1,Chelsea Anderson,150701,5371478
Product listen.,445,3,10,Omar Smith,378576,4005026
Son conference.,842,1,1,Karen Williams,145562,2030932
Candidate.,231,2,6,Sergio Mueller,96583,2282041
It whole.,38,3,1,Robert Mcclain,323015,5334751
Window.,264,1,6,Sally Hamilton MD,303154,5451772
International cause.,394,2,10,Alexandra Simmons,129686,1319498
Voice both.,123,1,7,David Scott,133665,6548836
Perhaps green.,378,5,7,Deborah Ortega,244977,3920533
Human trouble.,389,3,1,Ashley Contreras,162662,2643699
Someone.,188,4,2,Jean Mcdaniel,60971,5073178
Theory.,92,1,9,Michelle Anderson,305503,4938121
Painting them.,212,3,9,Mitchell Murillo,176926,6689930
Deep.,627,4,4,John Adams,394994,5517554
Song throw.,125,5,4,Jeffrey Velez,334932,1115632
Chance.,433,4,1,Kenneth Evans,305603,2045709
Happen.,934,4,4,Stephen Curry,396011,2685518
Court.,607,1,10,Timothy Baker,393283,5186983
Team.,434,3,2,Natasha Gibson,237497,2155398
Produce without.,407,5,5,Justin Dickerson,140738,6060915
Media bad.,924,3,4,Jenna Contreras,298076,1494411
Summer.,249,4,2,Kristin Barrett,324093,1869579
Care civil.,751,2,3,Alex Cole,106757,2554340
Let.,110,3,3,Caleb Williams,104371,4146118
Option commercial.,524,4,5,Angela Odonnell,392035,1326256
Itself.,327,4,8,Amy Diaz,260158,4292853
Onto.,582,3,3,Wendy Walker,232950,4616426
Majority.,776,5,7,Rebecca Fox,250603,5394551
Best.,837,4,7,Joshua Tucker,169540,2272460
Arm.,40,3,1,Andrea Rivera,307966,2344639
Out market.,824,2,7,Kimberly Johnson,67062,2618394
Its.,693,5,5,Shannon Cooper,398824,6915188
Lot western.,858,3,10,Karen Harper,372548,3180289
Audience staff.,572,3,1,Crystal Davis,85317,1602322
Management idea.,959,2,10,Shawn Rivas,163414,1617954
Tv difference.,385,3,5,Richard Anderson,399358,4395881
Democrat foreign.,254,4,3,Teresa Nelson,250495,4021856
Lose.,964,3,8,Paula Santos,230507,4902463
Candidate.,812,4,3,Sarah Richards,165941,1298296
Cause let.,540,2,3,Alison Hill,328457,1783483
Health.,575,4,2,Melanie Willis,338899,6897355
Though.,53,5,8,Timothy Reed,211043,1807739
Boy feel.,796,4,5,Scott Brady,307478,4562514
No bit.,837,3,10,Russell Baker,228821,6796885
Two.,34,2,8,Michelle Hunt,156593,1763856
Per.,520,3,5,Miss Anna Archer,265946,3650832
Through address.,227,1,9,Nicole Foster,66363,1464753
Thank community.,949,1,4,Ricardo Mcdaniel,122242,5134757
Deal clear.,431,3,1,Ian Nielsen,388371,5960246
Center four.,126,4,4,Ricardo Mason,255541,2811400
Huge.,46,4,9,Kathleen Cunningham,235918,2043598
Democratic social.,946,2,10,Ivan Butler,60779,3447969
Pretty.,846,4,3,Elizabeth Rice,120182,1207789
Buy.,615,2,1,Ronald Gilmore,395908,5833441
Business.,953,3,8,Matthew Daugherty,375791,3727989
Try recent.,433,4,7,Christine Jones,82460,6003017
Price among.,655,3,10,Julia Rodriguez,125471,6186039
Price expert.,877,3,3,Carolyn Christensen,129989,1524236
Beat although.,98,1,1,Anthony Alexander,93730,4761596
Defense woman.,101,1,4,Mr. Shane Young,368758,5876576
Note.,667,5,2,Tammy Blair,84800,6660273
Analysis.,648,2,10,Richard Dixon,233329,3774980
This.,678,3,3,Laura May,183435,1670002
Glass.,937,4,9,John Fisher,255915,1265529
Learn speak.,753,1,3,Jeremy Williams,103835,6618803
Maintain near.,997,3,7,Kristina Rodriguez,202853,4941818
Law.,466,3,2,Emma Peterson,111491,3051862
Force.,125,1,3,Gary Odonnell,73654,4181570
Growth.,535,2,5,Kimberly Simon,250277,6434467
Past.,807,5,6,Benjamin Lopez,233617,4856374
From.,792,4,6,Luis Riddle,222655,3128226
Economy.,390,1,3,Sandy Jackson,321860,2410542
Include hear.,502,4,1,Jennifer Juarez,378107,4236475
Term.,848,5,6,Allison Bruce,331952,3040893
Police rock.,528,2,2,Autumn Young,141635,5310432
Provide.,692,2,6,Tamara Murphy MD,288853,2135952
Expert.,422,2,9,Donald Hudson DDS,292404,4517556
Case glass.,962,4,3,Anna Williams,364871,5255703
Cut.,870,1,2,Jasmine Trevino,98760,2570679
Born edge.,201,1,3,Frances Bender,170047,5185953
Join.,545,4,3,Christopher Davis,110757,6795240
Perform million.,245,1,1,Richard Walker,150761,3085377
Far yet.,185,5,6,Donna Ali,368867,3010962
Sea.,873,3,5,Ashley Richardson,232482,2973039
Summer.,307,4,4,Rachel Martin,63155,6209152
All.,545,3,6,Yvonne Rogers,299187,5198375
Ask.,535,3,3,Kenneth Ray,341356,3948727
Role.,511,5,1,Christopher Holland,250284,4645706
Happy.,597,3,2,Robert Smith,144108,5806144
Morning.,319,2,9,Mrs. Kimberly Mason DVM,308265,2048202
Husband.,755,3,6,Ashley Nunez,143261,5528852
Certainly.,178,5,1,Aaron Freeman,370153,4075624
Energy other.,807,2,1,Jeffery Wagner,198487,5339114
Example participant.,736,5,7,Maria Bray,226520,2492257
Piece.,109,3,9,Austin Anthony,61276,1220540
Money.,502,4,5,Emily Brown,120520,5255480
Art.,501,5,5,Richard Mathis,129214,5094537
Dream more.,73,5,4,Zachary Chang,132888,3600929
Always size.,236,2,2,Michael Rios,136542,5299676
Only here.,868,2,2,Clarence Smith,363536,4859670
Language.,859,4,5,Jeremy Brown,383182,3171900
Finish feeling.,96,3,5,Dr. Brandon Suarez,270199,1015164
Either.,929,2,2,Robert Mason,346368,4132392
Put these.,987,4,8,Keith Duran,89290,6849964
Late expect.,625,1,8,Trevor Bates,202636,3702903
Leg.,62,4,3,Rhonda Edwards,268671,3602904
Mention.,311,4,2,Michelle Rodriguez,251591,5868840
Manage bank.,990,2,10,Billy Reed,367321,2585469
Growth.,803,5,3,Jessica Burton,398408,2325548
Participant feel.,433,1,1,Eric Austin,249067,2668491
Whether.,685,5,1,Aaron Shaw,175545,6569940
Hospital world.,441,2,5,Timothy Washington,327325,5048452
Son difficult.,583,2,10,Timothy Peters,205691,4977169
Rise after.,315,1,10,Nancy Simmons,164510,1061883
Involve.,611,1,8,Angela White,194878,6075165
Mind once.,404,5,8,Elizabeth Rogers,362729,5749539
Attention letter.,440,3,5,Dean Williams,256458,5214180
Because business.,587,5,1,Morgan Morris,83934,4403990
Federal.,559,5,6,Mary Watson,294376,4196748
Fast some.,285,4,1,Troy Lindsey,367605,6304912
Environment painting.,784,3,2,Robert Miller,172017,1651217
Purpose.,31,2,10,Laura Parker,107535,1496644
Usually model.,922,3,8,Elizabeth Chen,100122,5993163
Forward parent.,959,1,6,Stephanie Norman,138081,6368103
That tax.,464,3,10,Claire Jones,240115,3934494
Drug important.,732,1,2,Sharon Hudson,365479,5662807
Season ground.,57,5,8,Nicole Frazier,73747,5948858
Report.,61,2,4,Laura Cortez,223999,2335386
I.,235,1,1,Thomas Wood,146518,2315476
Reason.,418,4,1,Cody Davis,295677,4889276
Could.,892,5,3,Sandra Graham,66470,2704693
I.,688,3,2,Paula Sullivan,106853,2820638
Quality skill.,562,3,10,Debra Myers,210301,5651379
Natural green.,337,3,1,Vanessa Flores,229214,5515398
Produce interesting.,315,4,5,Katherine Miller,169349,5078096
Floor.,375,4,5,Robert Barnes MD,389218,2516774
Significant loss.,842,3,9,Beth Jennings,337407,1876068
Program.,248,4,6,Susan Turner,267033,4462766
Bill poor.,194,5,6,Mark Fletcher,355142,5069710
Certainly.,620,5,2,Stacy Moore,346673,6813590
Child.,469,4,10,Douglas Malone,82339,1782655
Level.,701,1,5,Darren Ross,261757,5004469
Daughter base.,601,4,4,Christopher Pearson,252349,3847846
Eat.,776,5,6,Elizabeth Zavala,125603,2513478
Today.,618,1,2,Hector Neal,188217,3344746
Project money.,651,2,10,Kimberly Kelley,322095,2292904
Learn.,605,1,4,Sabrina Owens,340724,5595701
Life.,312,2,9,Thomas Ryan,204368,6186500
Defense begin.,594,2,10,William Gomez,391700,1601330
Share.,14,3,9,Michael Maldonado,236494,4811859
Painting.,495,1,7,Joshua Torres,71105,6070297
Even.,779,3,5,Sharon Farrell,127279,2178455
Goal during.,237,1,3,Leslie West,79169,2306892
Forget take.,61,2,4,George Thomas DDS,233975,3613654
Important foot.,315,2,4,Kyle Cunningham,368610,3794762
Wife somebody.,670,3,2,Stephanie Thomas,116932,6867034
White other.,6,1,8,Lisa Anderson,325622,1005156
Girl.,481,2,9,Jessica Stokes,361630,6433009
Whose.,921,5,8,Carly Smith,212651,5958068
Sense.,169,4,2,Alyssa James,344819,4269515
Drop.,482,4,5,Frederick Martinez,96790,6964087
Situation me.,476,2,7,Sandra Moore,266525,5812494
Serious.,807,3,8,Brooke Watkins,150424,2817601
Recently own.,631,3,10,Sheila Miller,99410,1463667
Authority.,293,2,2,Jennifer Kaiser,348328,6226839
Eye.,831,3,2,Shannon Lara,128076,1058040
Could.,448,1,10,Devon Bush,230467,6384644
Style.,765,2,2,Shirley Morgan,240172,5649548
Contain sing.,509,5,1,Mrs. Christina Lamb DVM,332540,2486379
Should.,352,1,4,Tammy Lindsey,251421,1400861
Number benefit.,718,1,4,Carlos Lutz,100474,6095439
Provide.,695,4,6,Melvin Williams,163312,4379269
Religious.,170,1,1,Eddie Mclaughlin,311702,1415002
Parent purpose.,978,5,3,Kelly Cuevas,250560,6658132
Official conference.,606,2,9,Pamela Garcia,108937,3011062
Collection.,253,5,7,Christopher Richards,350823,4204154
Level skill.,268,2,7,Tracey Melendez,128553,5950672
Wall over.,684,4,10,Annette Freeman,285423,6989288
Have everybody.,243,3,6,Lee Lee,140132,4325921
Talk.,183,2,1,Betty Pham,298943,1817376
