CustomerId,PlanType,StartDate,EndDate,BillingAmount,AutoRenew
2958,Family,2024-01-18,2025-11-23,9.99,1
447,Family,2024-04-22,2025-11-19,9.99,1
328,Premium,2024-12-30,2025-10-04,9.99,0
3865,Premium,2023-10-21,2025-07-30,9.99,1
3499,Free,2023-09-30,2025-06-12,9.99,1
707,Student,2023-08-12,2025-09-05,9.99,0
79,Premium,2023-08-25,2026-03-11,9.99,1
3700,Free,2023-06-22,2026-01-21,9.99,0
1532,Free,2024-01-28,2025-08-30,9.99,1
2619,Free,2023-07-29,2025-07-22,9.99,0
690,Basic,2024-04-03,2025-07-15,9.99,0
3606,Premium,2025-03-14,2026-01-24,9.99,1
4673,Free,2024-05-26,2026-02-21,9.99,1
819,Family,2025-01-17,2025-12-03,9.99,1
3709,Basic,2024-06-02,2025-08-22,9.99,0
4913,Premium,2023-09-30,2026-03-07,9.99,1
4395,Free,2023-12-14,2026-03-05,9.99,0
3263,Student,2024-03-23,2025-10-01,9.99,0
1787,Basic,2023-06-22,2026-03-02,9.99,0
3234,Premium,2024-12-25,2026-02-10,9.99,0
4109,Basic,2024-09-22,2026-01-21,9.99,0
227,Student,2023-05-31,2025-10-12,9.99,0
4088,Free,2024-08-24,2025-05-29,9.99,1
3738,Family,2025-03-08,2026-03-05,9.99,1
2495,Basic,2024-02-28,2025-11-29,9.99,1
2165,Premium,2024-08-05,2026-03-04,9.99,1
4760,Student,2024-11-12,2026-02-09,9.99,0
3917,Student,2024-06-14,2025-08-05,9.99,1
3863,Basic,2024-04-15,2025-06-22,9.99,0
2966,Free,2024-09-06,2025-09-16,9.99,1
2096,Premium,2024-05-09,2025-10-30,9.99,0
2226,Family,2024-01-13,2026-02-16,9.99,0
922,Basic,2024-02-12,2026-03-12,9.99,1
1229,Family,2023-11-23,2025-07-02,9.99,0
4125,Student,2025-03-15,2026-01-11,9.99,0
4237,Basic,2024-06-01,2025-10-24,9.99,1
2959,Student,2024-10-20,2025-07-12,9.99,0
1855,Basic,2024-07-21,2025-08-04,9.99,0
3251,Basic,2024-05-17,2025-11-21,9.99,1
4821,Free,2023-12-10,2025-08-11,9.99,0
1125,Student,2024-08-19,2025-07-24,9.99,1
1924,Student,2023-08-19,2026-03-19,9.99,1
2038,Premium,2024-09-07,2025-11-08,9.99,0
2458,Free,2024-04-25,2026-03-26,9.99,0
1936,Basic,2024-11-19,2025-09-27,9.99,1
215,Free,2023-07-04,2025-07-12,9.99,0
1805,Basic,2025-04-05,2025-10-19,9.99,0
1649,Basic,2024-11-12,2026-04-26,9.99,1
2245,Basic,2023-09-29,2025-11-08,9.99,1
1376,Premium,2024-08-28,2025-06-19,9.99,0
4621,Basic,2024-07-11,2026-01-19,9.99,1
3845,Premium,2023-12-12,2025-12-16,9.99,1
1340,Basic,2024-07-07,2025-11-12,9.99,1
2909,Basic,2024-01-24,2026-04-10,9.99,1
42,Student,2023-11-03,2026-01-19,9.99,0
4710,Student,2023-11-24,2026-03-22,9.99,0
4675,Family,2024-08-25,2025-06-26,9.99,1
409,Free,2024-01-03,2025-09-22,9.99,1
3152,Student,2024-03-21,2026-04-13,9.99,1
3184,Basic,2025-02-03,2025-08-03,9.99,0
2999,Basic,2023-06-14,2026-03-26,9.99,0
3792,Family,2025-01-28,2026-04-05,9.99,0
3750,Student,2023-05-29,2025-07-01,9.99,0
4198,Basic,2023-11-10,2026-03-13,9.99,1
1559,Student,2023-07-31,2025-08-18,9.99,1
2374,Student,2024-11-30,2025-11-12,9.99,0
2679,Free,2023-08-26,2025-12-05,9.99,0
4605,Family,2024-01-06,2026-02-25,9.99,1
4162,Student,2023-11-26,2025-06-07,9.99,0
2610,Family,2024-02-29,2026-04-26,9.99,1
2590,Premium,2024-10-16,2025-12-13,9.99,1
2368,Student,2024-09-03,2025-07-06,9.99,0
972,Family,2024-02-17,2026-03-23,9.99,0
1397,Family,2023-10-31,2026-01-28,9.99,1
3471,Premium,2025-02-16,2026-03-02,9.99,0
3072,Premium,2024-05-20,2025-10-07,9.99,0
1012,Student,2024-05-08,2025-12-26,9.99,1
737,Student,2023-08-28,2026-03-06,9.99,0
1287,Premium,2024-03-01,2025-11-06,9.99,0
2830,Basic,2024-07-04,2025-11-07,9.99,1
4356,Family,2025-02-17,2025-06-10,9.99,1
1653,Family,2025-04-03,2025-11-11,9.99,1
2161,Free,2025-02-06,2026-02-02,9.99,0
2797,Family,2024-02-17,2026-03-23,9.99,0
4012,Free,2024-02-28,2026-01-18,9.99,1
2583,Student,2024-06-28,2026-02-26,9.99,0
2665,Free,2024-08-16,2025-08-06,9.99,0
4177,Student,2025-01-19,2025-10-22,9.99,1
411,Free,2025-03-23,2025-09-11,9.99,0
1325,Premium,2024-02-03,2025-10-11,9.99,1
2432,Premium,2024-03-29,2026-04-15,9.99,0
2588,Basic,2023-12-30,2025-10-14,9.99,1
295,Family,2024-03-20,2026-03-03,9.99,0
1426,Premium,2023-06-09,2025-10-24,9.99,1
3958,Premium,2023-07-07,2026-03-20,9.99,1
769,Student,2024-11-19,2025-09-09,9.99,1
2578,Basic,2024-10-09,2025-10-03,9.99,1
1236,Free,2024-03-21,2026-04-07,9.99,0
308,Free,2025-01-12,2026-02-14,9.99,1
3298,Family,2023-12-28,2026-04-17,9.99,0
2207,Free,2025-04-09,2025-07-18,9.99,1
4515,Family,2024-07-15,2025-09-07,9.99,1
4328,Student,2024-03-06,2025-11-18,9.99,0
3693,Premium,2025-02-09,2026-04-26,9.99,0
4411,Free,2024-01-18,2025-09-03,9.99,0
2401,Student,2023-07-17,2026-01-24,9.99,0
2349,Premium,2025-01-20,2025-08-09,9.99,0
1360,Basic,2024-12-29,2026-02-24,9.99,1
3845,Student,2023-12-19,2025-07-20,9.99,1
4319,Premium,2024-01-18,2025-10-19,9.99,1
4931,Premium,2025-02-01,2026-01-20,9.99,1
3397,Student,2025-03-23,2025-07-18,9.99,1
3791,Free,2023-10-17,2025-11-15,9.99,1
2083,Student,2024-06-22,2026-03-15,9.99,1
3232,Student,2024-07-16,2026-04-22,9.99,0
2763,Basic,2024-09-08,2026-03-25,9.99,0
3108,Basic,2023-08-17,2025-12-16,9.99,1
25,Basic,2024-02-15,2025-12-16,9.99,1
1518,Basic,2024-03-21,2025-08-25,9.99,0
1362,Free,2024-03-09,2026-04-17,9.99,0
451,Free,2024-01-28,2025-12-25,9.99,1
3910,Free,2023-06-20,2025-07-01,9.99,0
2159,Basic,2025-03-09,2025-06-11,9.99,1
668,Free,2023-07-21,2026-01-15,9.99,1
4413,Family,2024-12-07,2026-01-12,9.99,0
45,Basic,2024-07-02,2025-08-13,9.99,1
1273,Free,2024-05-18,2025-07-24,9.99,0
4193,Student,2023-06-28,2025-10-17,9.99,0
3700,Student,2024-12-23,2025-12-22,9.99,0
438,Free,2025-03-26,2025-11-22,9.99,0
853,Student,2024-04-28,2025-07-18,9.99,0
3596,Student,2024-11-02,2026-03-25,9.99,1
454,Free,2024-02-12,2025-09-16,9.99,1
3772,Premium,2024-05-07,2026-02-24,9.99,0
928,Basic,2024-05-12,2025-09-23,9.99,1
904,Family,2024-01-30,2025-09-09,9.99,1
2870,Basic,2023-08-02,2026-01-13,9.99,1
4117,Student,2024-10-15,2025-09-07,9.99,0
4724,Family,2023-09-08,2025-06-11,9.99,1
1627,Student,2024-05-17,2025-07-31,9.99,1
3983,Premium,2024-08-19,2026-01-31,9.99,0
3,Basic,2025-01-15,2025-12-16,9.99,1
688,Student,2024-04-20,2026-03-08,9.99,1
2755,Basic,2023-07-11,2026-03-28,9.99,1
1119,Family,2023-10-23,2025-09-06,9.99,1
3278,Basic,2023-06-11,2025-09-27,9.99,0
846,Premium,2025-01-15,2025-10-09,9.99,0
2227,Basic,2024-02-20,2026-03-14,9.99,0
196,Student,2024-01-05,2025-10-08,9.99,0
2603,Free,2025-01-08,2025-09-04,9.99,0
2390,Family,2025-02-07,2025-06-20,9.99,0
1027,Family,2024-01-24,2026-04-04,9.99,0
166,Student,2024-06-13,2025-08-11,9.99,0
4698,Student,2024-07-12,2025-06-21,9.99,0
3351,Basic,2023-12-05,2025-12-25,9.99,1
2947,Premium,2024-11-03,2026-03-15,9.99,1
3852,Basic,2023-12-16,2025-12-11,9.99,0
3820,Family,2023-11-24,2025-12-24,9.99,1
1076,Basic,2024-08-16,2025-05-29,9.99,0
2029,Family,2023-12-12,2026-04-12,9.99,0
1550,Free,2023-06-18,2026-01-16,9.99,1
4749,Family,2023-10-28,2026-04-07,9.99,1
745,Free,2023-07-29,2025-05-27,9.99,0
4498,Family,2024-10-23,2025-12-16,9.99,0
3663,Premium,2024-03-15,2025-07-25,9.99,0
4567,Student,2023-07-19,2026-01-11,9.99,0
1902,Student,2025-02-15,2025-09-07,9.99,1
3189,Free,2024-12-04,2025-11-25,9.99,0
2386,Basic,2024-06-03,2025-12-17,9.99,1
3644,Free,2024-04-04,2025-11-06,9.99,0
2991,Free,2023-11-06,2025-10-10,9.99,1
3758,Family,2023-12-20,2025-06-10,9.99,1
4473,Family,2023-05-02,2025-09-04,9.99,1
4334,Free,2024-07-31,2025-12-05,9.99,0
547,Basic,2023-08-11,2026-01-13,9.99,0
333,Family,2024-07-08,2025-12-09,9.99,1
3173,Premium,2024-08-22,2025-09-08,9.99,0
2931,Basic,2024-09-20,2026-04-09,9.99,0
3867,Premium,2024-07-30,2026-03-25,9.99,1
4862,Basic,2023-05-14,2025-07-31,9.99,0
2070,Basic,2024-10-22,2025-08-06,9.99,1
3118,Free,2024-08-08,2025-06-04,9.99,1
3675,Student,2025-03-12,2025-10-19,9.99,0
2751,Premium,2024-03-14,2025-09-22,9.99,1
914,Basic,2024-04-20,2025-07-21,9.99,0
65,Premium,2025-01-27,2025-07-16,9.99,0
235,Free,2024-01-14,2026-02-08,9.99,0
4136,Free,2024-10-04,2026-01-05,9.99,0
1611,Free,2023-09-06,2026-01-07,9.99,1
3982,Family,2024-06-15,2025-07-28,9.99,0
1247,Basic,2023-10-26,2026-02-27,9.99,0
4738,Family,2023-10-14,2025-06-28,9.99,1
119,Free,2023-10-23,2026-01-15,9.99,1
3572,Basic,2024-02-29,2026-04-06,9.99,0
2142,Family,2024-12-04,2025-05-28,9.99,0
1523,Student,2024-08-16,2025-08-28,9.99,0
1796,Premium,2023-06-11,2025-11-21,9.99,1
1213,Premium,2023-06-09,2025-08-26,9.99,0
935,Family,2023-07-01,2025-11-24,9.99,0
1741,Free,2023-12-01,2025-07-10,9.99,1
379,Basic,2024-10-16,2025-11-14,9.99,1
2441,Free,2023-06-19,2025-06-13,9.99,0
3153,Student,2024-03-13,2026-01-15,9.99,1
871,Student,2023-12-11,2026-04-07,9.99,0
2928,Free,2024-01-13,2025-12-20,9.99,0
129,Student,2023-05-06,2026-04-18,9.99,0
4755,Free,2023-10-07,2025-08-22,9.99,0
1851,Free,2023-08-04,2025-11-25,9.99,1
3491,Free,2023-09-12,2025-09-29,9.99,1
2834,Family,2025-02-04,2025-06-19,9.99,0
2635,Premium,2025-01-22,2025-06-18,9.99,0
3252,Free,2024-02-05,2025-10-02,9.99,1
2173,Free,2024-05-08,2025-12-18,9.99,1
1673,Free,2023-11-26,2026-03-10,9.99,1
3157,Basic,2025-01-19,2025-06-19,9.99,0
264,Free,2023-07-31,2025-06-05,9.99,1
4764,Basic,2025-03-24,2026-02-22,9.99,1
4379,Basic,2024-03-22,2025-08-18,9.99,0
648,Free,2024-11-09,2026-04-09,9.99,1
2328,Premium,2024-10-06,2025-12-12,9.99,1
2529,Premium,2024-02-06,2025-10-16,9.99,1
1034,Free,2023-12-26,2025-09-15,9.99,0
3968,Free,2023-05-14,2026-02-05,9.99,1
2296,Free,2024-03-08,2025-05-29,9.99,0
1988,Family,2024-03-03,2025-07-07,9.99,1
4586,Family,2023-10-29,2025-12-20,9.99,0
1113,Student,2023-10-15,2025-08-13,9.99,0
1599,Free,2024-08-04,2025-07-27,9.99,0
528,Student,2024-04-22,2025-12-26,9.99,1
1954,Basic,2023-08-20,2026-01-23,9.99,0
2118,Premium,2024-05-28,2025-12-08,9.99,1
2533,Student,2024-02-24,2025-12-06,9.99,0
145,Premium,2023-12-10,2025-09-27,9.99,0
2816,Free,2024-01-17,2025-07-24,9.99,0
2607,Family,2023-06-30,2025-12-29,9.99,1
4869,Free,2024-02-25,2025-05-27,9.99,0
162,Premium,2024-09-03,2025-10-25,9.99,0
2378,Basic,2024-09-02,2025-12-05,9.99,1
3260,Family,2023-12-03,2025-12-29,9.99,0
3066,Family,2023-07-12,2025-11-09,9.99,1
2678,Basic,2024-02-22,2026-04-12,9.99,1
4101,Free,2024-05-31,2025-11-15,9.99,0
754,Free,2023-11-29,2025-07-06,9.99,1
4950,Student,2023-08-22,2026-03-20,9.99,0
4690,Student,2025-02-07,2025-06-01,9.99,1
1657,Free,2024-03-16,2025-07-27,9.99,0
74,Premium,2024-03-03,2026-04-17,9.99,1
4429,Student,2023-11-02,2026-02-23,9.99,1
3158,Free,2023-05-15,2026-04-02,9.99,1
1949,Free,2023-10-31,2026-03-24,9.99,1
2345,Family,2023-10-29,2025-09-11,9.99,0
4429,Premium,2024-02-20,2025-11-17,9.99,0
4265,Family,2024-01-09,2025-10-15,9.99,1
4019,Free,2023-06-04,2026-02-11,9.99,1
627,Student,2023-05-07,2025-12-11,9.99,0
4857,Student,2023-08-09,2026-01-06,9.99,1
4172,Free,2024-10-12,2025-10-30,9.99,1
2683,Basic,2024-10-12,2026-03-16,9.99,0
1051,Family,2024-06-07,2025-09-10,9.99,1
4666,Premium,2024-02-20,2026-03-11,9.99,1
3650,Family,2024-07-03,2026-04-04,9.99,1
4747,Premium,2024-08-09,2025-12-26,9.99,1
3581,Basic,2023-07-21,2025-08-06,9.99,1
3631,Premium,2024-03-05,2026-03-24,9.99,1
867,Student,2024-09-13,2026-02-19,9.99,0
1795,Premium,2024-06-02,2025-08-30,9.99,0
2771,Free,2024-12-07,2026-03-24,9.99,0
3162,Student,2024-05-19,2026-03-12,9.99,1
250,Free,2023-08-07,2025-10-14,9.99,1
2283,Family,2024-11-28,2025-07-16,9.99,1
2566,Basic,2025-02-15,2026-01-26,9.99,0
4831,Student,2023-10-03,2025-10-05,9.99,1
3629,Free,2024-05-13,2025-10-01,9.99,0
958,Student,2023-12-17,2025-08-30,9.99,1
4297,Premium,2025-03-09,2025-12-21,9.99,0
2256,Free,2024-01-22,2025-06-24,9.99,1
742,Family,2024-08-30,2026-03-29,9.99,1
410,Basic,2023-04-27,2025-11-07,9.99,0
2363,Free,2025-03-16,2025-10-29,9.99,1
1701,Premium,2025-01-14,2026-01-03,9.99,0
1179,Free,2023-05-04,2025-08-23,9.99,0
385,Family,2025-01-23,2025-08-26,9.99,1
580,Premium,2023-07-17,2025-11-19,9.99,0
1407,Student,2025-04-15,2025-11-29,9.99,1
3418,Basic,2023-09-17,2025-09-11,9.99,1
4743,Basic,2024-03-22,2025-08-06,9.99,0
4163,Family,2025-04-18,2025-12-20,9.99,0
3853,Student,2023-07-21,2025-08-25,9.99,1
4923,Basic,2023-09-14,2025-09-03,9.99,1
3293,Free,2025-03-03,2025-07-29,9.99,1
4583,Premium,2024-07-16,2025-11-05,9.99,1
51,Basic,2023-08-06,2026-02-27,9.99,0
4521,Student,2024-12-29,2026-02-10,9.99,0
4044,Premium,2024-12-03,2025-08-16,9.99,1
1506,Free,2024-10-26,2025-08-04,9.99,1
1032,Basic,2024-02-23,2025-11-05,9.99,1
3804,Basic,2025-01-16,2025-12-20,9.99,1
3007,Free,2024-02-28,2025-08-03,9.99,0
2771,Student,2023-06-14,2026-02-25,9.99,1
3291,Premium,2024-04-11,2025-09-30,9.99,0
3680,Student,2023-11-22,2025-10-16,9.99,1
275,Premium,2024-09-04,2025-12-02,9.99,0
1105,Basic,2023-09-26,2026-04-14,9.99,1
2302,Premium,2024-07-19,2025-06-26,9.99,1
1926,Family,2025-04-20,2025-11-29,9.99,1
2258,Premium,2025-03-13,2025-08-09,9.99,0
812,Premium,2023-10-11,2026-02-16,9.99,0
4481,Basic,2023-10-13,2025-07-01,9.99,0
4740,Family,2023-11-08,2025-12-01,9.99,0
2740,Premium,2023-10-28,2025-11-10,9.99,1
1471,Family,2023-09-13,2026-04-05,9.99,0
233,Family,2024-12-14,2025-11-03,9.99,0
51,Free,2024-12-04,2025-05-29,9.99,1
4669,Basic,2025-04-05,2025-08-24,9.99,0
2909,Premium,2024-12-20,2025-12-04,9.99,0
1795,Basic,2023-11-02,2025-09-02,9.99,0
3355,Family,2024-05-16,2025-12-26,9.99,0
2505,Family,2024-12-08,2025-07-28,9.99,0
2944,Family,2024-10-10,2026-01-29,9.99,0
811,Family,2024-11-12,2025-08-11,9.99,0
1644,Student,2023-11-14,2025-11-11,9.99,0
1962,Family,2025-04-18,2025-06-27,9.99,0
1080,Family,2024-01-30,2025-08-11,9.99,1
1689,Basic,2024-03-21,2025-12-09,9.99,1
2129,Student,2024-12-11,2026-02-03,9.99,1
450,Basic,2024-04-15,2026-04-22,9.99,0
4209,Premium,2023-07-01,2025-08-16,9.99,1
421,Premium,2024-07-30,2026-01-02,9.99,0
3884,Basic,2023-05-30,2025-06-21,9.99,1
1495,Student,2025-02-09,2026-04-09,9.99,1
4241,Basic,2023-06-13,2025-06-13,9.99,1
3943,Free,2024-04-29,2025-07-29,9.99,0
1436,Basic,2024-09-26,2026-01-23,9.99,1
4238,Premium,2023-05-23,2025-07-09,9.99,1
2945,Basic,2024-02-07,2026-01-08,9.99,1
1905,Student,2024-07-06,2026-02-10,9.99,0
3125,Student,2025-03-31,2025-09-07,9.99,0
1810,Premium,2024-09-12,2026-04-05,9.99,1
128,Free,2024-12-01,2025-07-03,9.99,0
4806,Free,2023-04-30,2025-10-26,9.99,1
1533,Basic,2023-04-29,2025-07-28,9.99,1
350,Premium,2024-07-08,2026-04-15,9.99,1
2464,Student,2023-11-25,2026-03-19,9.99,0
1410,Student,2024-11-29,2025-06-02,9.99,0
3086,Basic,2025-02-12,2025-11-01,9.99,0
3920,Basic,2023-08-01,2025-07-15,9.99,0
3472,Family,2023-11-19,2025-07-19,9.99,0
1463,Premium,2024-10-26,2025-07-05,9.99,0
3891,Student,2024-11-29,2026-01-12,9.99,1
1395,Premium,2025-02-07,2025-07-02,9.99,1
4016,Student,2024-05-07,2025-09-05,9.99,0
474,Free,2024-03-28,2025-11-01,9.99,0
885,Premium,2023-05-30,2025-11-02,9.99,1
3223,Basic,2024-09-26,2026-03-21,9.99,1
869,Basic,2025-01-07,2026-03-02,9.99,1
163,Basic,2024-09-08,2026-01-14,9.99,1
1273,Premium,2024-01-10,2025-08-08,9.99,1
1026,Basic,2023-10-08,2025-12-26,9.99,1
1087,Basic,2023-07-19,2025-06-20,9.99,1
3935,Family,2024-04-25,2025-11-04,9.99,1
619,Family,2024-08-19,2025-08-22,9.99,1
4949,Premium,2023-10-12,2026-03-06,9.99,0
4409,Premium,2024-10-21,2025-11-12,9.99,1
4511,Free,2024-02-26,2025-10-28,9.99,1
2109,Premium,2024-07-05,2025-09-27,9.99,0
4257,Premium,2023-09-02,2026-02-21,9.99,0
1456,Premium,2024-01-06,2025-09-02,9.99,1
206,Basic,2024-08-01,2026-01-06,9.99,0
4661,Student,2024-01-30,2026-04-15,9.99,1
2693,Premium,2025-04-22,2025-06-25,9.99,0
369,Free,2024-08-13,2026-01-15,9.99,1
1195,Free,2024-02-26,2025-07-17,9.99,1
4560,Family,2024-02-15,2025-12-15,9.99,1
2606,Free,2024-09-23,2025-07-01,9.99,1
2984,Free,2023-07-20,2025-11-14,9.99,0
4182,Free,2024-11-26,2025-07-25,9.99,0
303,Student,2024-05-04,2025-06-12,9.99,1
101,Premium,2023-08-29,2025-10-12,9.99,1
199,Student,2024-07-01,2025-09-11,9.99,1
2804,Free,2025-02-18,2026-02-25,9.99,0
4150,Basic,2023-07-10,2025-07-16,9.99,0
2849,Basic,2025-02-08,2025-06-28,9.99,0
1037,Premium,2024-06-12,2026-03-21,9.99,0
259,Premium,2025-04-07,2025-06-09,9.99,0
3764,Free,2024-11-04,2025-07-25,9.99,0
2246,Basic,2024-08-27,2026-04-25,9.99,1
2637,Free,2023-09-11,2026-01-30,9.99,1
3932,Family,2024-02-07,2025-11-27,9.99,1
3766,Free,2023-07-04,2025-11-25,9.99,1
3092,Free,2023-06-30,2026-03-05,9.99,1
1839,Student,2024-04-26,2025-11-25,9.99,1
3757,Premium,2024-04-08,2026-01-25,9.99,0
3317,Family,2025-04-19,2025-09-09,9.99,0
4442,Student,2024-08-08,2026-03-12,9.99,1
3531,Premium,2023-05-18,2025-10-22,9.99,0
3711,Family,2025-04-09,2025-07-22,9.99,0
3486,Student,2024-12-26,2025-07-09,9.99,0
755,Basic,2023-08-13,2026-02-05,9.99,1
4620,Free,2024-10-25,2025-07-11,9.99,0
714,Family,2024-03-05,2026-04-22,9.99,0
1903,Premium,2023-06-21,2025-09-21,9.99,0
3512,Premium,2023-07-18,2025-11-10,9.99,1
4048,Student,2023-08-10,2025-06-09,9.99,0
3585,Basic,2024-02-13,2025-08-24,9.99,0
3501,Premium,2024-04-25,2025-09-22,9.99,1
3201,Free,2025-01-09,2025-07-19,9.99,1
2144,Free,2023-11-19,2026-02-28,9.99,1
3805,Student,2023-09-21,2026-01-06,9.99,1
1040,Basic,2025-04-25,2025-07-01,9.99,1
1756,Student,2024-11-19,2026-01-20,9.99,0
3263,Family,2024-01-09,2025-08-04,9.99,0
2402,Free,2024-09-12,2025-10-27,9.99,0
2368,Basic,2025-03-31,2025-12-26,9.99,0
4759,Free,2024-04-09,2025-06-13,9.99,1
1400,Student,2024-08-12,2026-03-30,9.99,0
3981,Premium,2024-04-21,2026-03-18,9.99,1
4877,Student,2024-11-14,2025-09-09,9.99,1
1908,Free,2023-08-22,2025-06-08,9.99,0
4780,Premium,2025-04-08,2025-12-15,9.99,0
2494,Family,2024-10-28,2025-10-20,9.99,0
2620,Family,2024-04-01,2025-10-29,9.99,0
2995,Basic,2024-01-16,2025-09-24,9.99,0
3100,Free,2024-11-18,2026-02-21,9.99,0
4144,Basic,2024-01-25,2025-12-02,9.99,0
48,Student,2024-03-31,2026-01-16,9.99,1
4999,Basic,2023-06-01,2025-10-19,9.99,0
2655,Free,2024-03-31,2025-07-26,9.99,0
4,Family,2024-01-10,2025-12-12,9.99,1
506,Basic,2025-04-01,2025-10-11,9.99,0
2126,Student,2024-10-25,2025-06-10,9.99,0
4258,Basic,2024-04-30,2025-10-29,9.99,0
3946,Basic,2024-05-25,2026-01-10,9.99,0
2418,Family,2024-10-31,2026-02-11,9.99,1
3289,Student,2025-01-20,2025-08-12,9.99,0
4154,Student,2023-05-27,2026-02-03,9.99,1
401,Family,2023-12-10,2026-01-10,9.99,1
4205,Basic,2024-12-15,2025-06-09,9.99,1
3036,Basic,2023-10-02,2025-08-29,9.99,0
2770,Premium,2025-04-18,2026-02-16,9.99,1
1113,Basic,2025-04-25,2025-12-23,9.99,1
4237,Student,2023-09-06,2026-03-07,9.99,0
2542,Family,2024-11-12,2025-06-11,9.99,0
1726,Family,2023-09-26,2025-08-22,9.99,1
549,Premium,2024-07-08,2025-09-26,9.99,1
1322,Student,2023-10-27,2026-04-09,9.99,0
1626,Family,2023-11-08,2025-11-08,9.99,0
2172,Premium,2024-08-11,2025-06-04,9.99,1
1056,Family,2024-05-04,2025-12-15,9.99,0
125,Free,2025-03-18,2025-06-13,9.99,1
169,Free,2025-03-11,2026-04-22,9.99,1
4663,Free,2024-03-01,2025-06-15,9.99,0
48,Premium,2025-01-25,2025-07-09,9.99,0
1123,Free,2023-10-20,2025-06-18,9.99,0
398,Family,2023-06-03,2025-12-16,9.99,0
881,Family,2024-01-28,2025-12-27,9.99,1
1152,Family,2024-06-19,2025-12-29,9.99,0
3858,Free,2025-03-21,2025-08-05,9.99,1
3556,Premium,2023-10-01,2026-01-20,9.99,1
503,Family,2024-03-07,2025-08-12,9.99,1
578,Family,2023-07-26,2025-11-03,9.99,0
3704,Premium,2024-05-26,2025-08-08,9.99,0
1562,Family,2024-02-26,2025-08-28,9.99,1
4631,Family,2025-02-09,2025-08-07,9.99,0
4678,Family,2024-11-15,2026-02-10,9.99,1
3702,Student,2023-07-31,2025-11-16,9.99,1
2698,Basic,2024-11-28,2025-11-27,9.99,0
1939,Student,2023-08-03,2025-11-09,9.99,1
1471,Free,2023-07-11,2025-09-15,9.99,0
3389,Free,2024-04-23,2025-10-12,9.99,1
2699,Student,2024-12-31,2025-08-13,9.99,1
2544,Free,2024-11-15,2025-07-15,9.99,0
920,Family,2023-07-05,2026-01-27,9.99,1
4852,Basic,2024-09-22,2025-09-21,9.99,1
3168,Basic,2025-01-16,2026-02-15,9.99,0
2181,Student,2023-06-02,2025-07-24,9.99,1
2709,Free,2024-11-25,2025-08-12,9.99,1
3469,Student,2025-03-14,2025-07-30,9.99,1
3884,Premium,2024-08-22,2025-06-23,9.99,0
2012,Free,2023-07-09,2026-03-03,9.99,1
